time,x,y,z,vx,vy,vz
1.161613351877607784e+03,1.052072416813187630e+02,1.853296261632410051e+03,0.000000000000000000e+00,1.080216782871359776e-01,-2.291562449822753533e-01,0.000000000000000000e+00
1.171627260083449073e+03,1.062874584641901237e+02,1.851004699182587046e+03,0.000000000000000000e+00,1.077367889034612780e-01,-2.306171525463708016e-01,0.000000000000000000e+00
1.181641168289290590e+03,1.073648263532247285e+02,1.848698527657123350e+03,0.000000000000000000e+00,1.074466700376960210e-01,-2.320721630914981404e-01,0.000000000000000000e+00
1.191655076495132107e+03,1.084392930536017019e+02,1.846377806026208418e+03,0.000000000000000000e+00,1.071514655725542969e-01,-2.335212884292153235e-01,0.000000000000000000e+00
1.201668984700973397e+03,1.095108077093272385e+02,1.844042593141916313e+03,0.000000000000000000e+00,1.068513155337671577e-01,-2.349645396679779785e-01,0.000000000000000000e+00
1.211682892906814914e+03,1.105793208646649077e+02,1.841692947745236324e+03,0.000000000000000000e+00,1.065463561913790047e-01,-2.364019272393175497e-01,0.000000000000000000e+00
1.221696801112656431e+03,1.116447844265786955e+02,1.839328928472843245e+03,0.000000000000000000e+00,1.062367201585669163e-01,-2.378334609231876340e-01,0.000000000000000000e+00
1.231710709318497948e+03,1.127071516281643682e+02,1.836950593863611402e+03,0.000000000000000000e+00,1.059225364879291531e-01,-2.392591498725001042e-01,0.000000000000000000e+00
1.241724617524339237e+03,1.137663769930436501e+02,1.834558002364886306e+03,0.000000000000000000e+00,1.056039307650911141e-01,-2.406790026368745283e-01,0.000000000000000000e+00
1.251738525730180754e+03,1.148224163006945560e+02,1.832151212338517553e+03,0.000000000000000000e+00,1.052810252000913327e-01,-2.420930271856276128e-01,0.000000000000000000e+00
1.261752433936022271e+03,1.158752265526954801e+02,1.829730282066661175e+03,0.000000000000000000e+00,1.049539387162587850e-01,-2.435012309300210176e-01,0.000000000000000000e+00
1.271766342141863561e+03,1.169247659398580623e+02,1.827295269757360984e+03,0.000000000000000000e+00,1.046227870368614116e-01,-2.449036207447922442e-01,0.000000000000000000e+00
1.281780250347705078e+03,1.179709938102266875e+02,1.824846233549912995e+03,0.000000000000000000e+00,1.042876827694802638e-01,-2.463002029889887201e-01,0.000000000000000000e+00
1.291794158553546595e+03,1.190138706379214852e+02,1.822383231520023173e+03,0.000000000000000000e+00,1.039487354881644954e-01,-2.476909835261257575e-01,0.000000000000000000e+00
1.301808066759387884e+03,1.200533579928031287e+02,1.819906321684761679e+03,0.000000000000000000e+00,1.036060518135122205e-01,-2.490759677436893416e-01,0.000000000000000000e+00
1.311821974965229401e+03,1.210894185109382590e+02,1.817415562007324752e+03,0.000000000000000000e+00,1.032597354906226450e-01,-2.504551605720019003e-01,0.000000000000000000e+00
1.321835883171070918e+03,1.221220158658444888e+02,1.814911010401604699e+03,0.000000000000000000e+00,1.029098874650381801e-01,-2.518285665024714293e-01,0.000000000000000000e+00
1.331849791376912208e+03,1.231511147404948616e+02,1.812392724736580021e+03,0.000000000000000000e+00,1.025566059566879740e-01,-2.531961896052416505e-01,0.000000000000000000e+00
1.341863699582753725e+03,1.241766808000617317e+02,1.809860762840527514e+03,0.000000000000000000e+00,1.021999865320197820e-01,-2.545580335462616639e-01,0.000000000000000000e+00
1.351877607788595242e+03,1.251986806653819286e+02,1.807315182505064968e+03,0.000000000000000000e+00,1.018401221740415918e-01,-2.559141016037908556e-01,0.000000000000000000e+00
1.361891515994436759e+03,1.262170818871223474e+02,1.804756041489026984e+03,0.000000000000000000e+00,1.014771033507645692e-01,-2.572643966843591312e-01,0.000000000000000000e+00
